Step,Distance,Density
0,0,2
0,1,0.3333
0,2,0.2
0,3,1
0,4,0.4444
0,5,0.9091
0,6,0.4615
0,7,0.7333
0,8,0.6471
0,9,0.5263
0,10,0.6667
0,11,0.6957
0,12,0.44
0,13,0.3704
0,14,0.6552
0,15,1
0,16,0.5455
0,17,0.5143
0,18,0.5135
0,19,1.0513
0,20,0.5366
0,21,0.6977
0,22,0.4444
0,23,0.4255
0,24,0.6735
0,25,0.5882
0,26,0.3962
0,27,0.2364
0,28,0.2807
0,29,0.2373
0,30,0.1311
0,31,0.0635
0,32,0.0923
0,33,0.0597
0,34,0.0145
50,1,0.3333
50,2,0.4
50,3,1.1429
50,4,0.3333
50,5,1.7273
50,6,0.3077
50,7,0.5333
50,8,1
50,9,0.3158
50,10,0.7619
50,11,1.087
50,12,0.56
50,13,0.4444
50,14,1.1379
50,15,0.9677
50,16,0.3939
50,17,0.6
50,18,0.8378
50,19,1.2051
50,20,0.7317
50,21,0.907
50,22,0.7556
50,23,0.5319
50,24,0.7551
50,25,0.8235
50,26,0.3208
50,27,0.1273
50,28,0.3333
50,29,0.339
50,30,0.1475
50,31,0.1111
50,32,0.0462
50,33,0.0448
100,0,2
100,1,1
100,2,0.4
100,3,0.7143
100,4,0.3333
100,5,1.6364
100,6,0.5385
100,7,0.7333
100,8,1.4118
100,9,0.5263
100,10,0.619
100,11,1.0435
100,12,0.48
100,13,0.4074
100,14,1.5517
100,15,0.9355
100,16,0.3939
100,17,0.7429
100,18,0.9189
100,19,1.4103
100,20,0.9756
100,21,1.2326
100,22,0.8
100,23,0.5106
100,24,0.8776
100,25,0.9412
100,26,0.566
100,27,0.1091
100,28,0.386
100,29,0.2542
100,30,0.2131
100,31,0.1746
100,32,0.1077
100,33,0.0746
100,34,0.029
150,0,1
150,1,1
150,2,1
150,3,1.2857
150,4,0.3333
150,5,2.4545
150,6,0.2308
150,7,0.8667
150,8,1.2941
150,9,0.8947
150,10,0.8571
150,11,1.0435
150,12,0.84
150,13,0.5556
150,14,1.5862
150,15,1.3548
150,16,0.3939
150,17,1.0571
150,18,1.2432
150,19,1.3333
150,20,1
150,21,1.0698
150,22,0.8889
150,23,0.6809
150,24,1.0204
150,25,0.8824
150,26,0.8302
150,27,0.0545
150,28,0.3333
150,29,0.3559
150,30,0.2459
150,31,0.1905
150,32,0.0769
150,33,0.1343
150,34,0.0435
200,0,2
200,1,1.3333
200,2,1.4
200,3,1.7143
200,4,0.4444
200,5,3
200,6,0.3846
200,7,0.9333
200,8,1.9412
200,9,1.2105
200,10,1.2381
200,11,1.1739
200,12,0.92
200,13,0.5926
200,14,1.8621
200,15,1.4194
200,16,0.3939
200,17,1
200,18,1.2162
200,19,1.4872
200,20,1.0976
200,21,1.3023
200,22,0.8889
200,23,0.8298
200,24,1.1224
200,25,1.0196
200,26,0.6604
200,27,0.1091
200,28,0.4561
200,29,0.4576
200,30,0.2295
200,31,0.1905
200,32,0.0923
200,33,0.1343
200,34,0.029
250,0,2
250,1,1.3333
250,2,2
250,3,1.8571
250,4,0.4444
250,5,3
250,6,0.5385
250,7,0.6667
250,8,1.8824
250,9,1.1053
250,10,1.381
250,11,1.1739
250,12,1.2
250,13,0.6667
250,14,2.069
250,15,1.5484
250,16,0.7273
250,17,1.0286
250,18,1.1081
250,19,1.6154
250,20,1.1951
250,21,1.6047
250,22,0.9556
250,23,0.9149
250,24,1.3061
250,25,1.1176
250,26,0.8679
250,27,0.1818
250,28,0.5965
250,29,0.5254
250,30,0.2295
250,31,0.1905
250,32,0.0615
250,33,0.1493
250,34,0.058
300,0,3
300,1,1.6667
300,2,2
300,3,2.2857
300,4,0.6667
300,5,3.0909
300,6,0.3077
300,7,1.1333
300,8,1.2353
300,9,1.4737
300,10,1.5238
300,11,1.4783
300,12,1.16
300,13,0.8519
300,14,1.8276
300,15,1.8387
300,16,0.8485
300,17,1.1714
300,18,1.3243
300,19,1.5385
300,20,1.1951
300,21,1.6279
300,22,1
300,23,1.1064
300,24,1.6939
300,25,1.4706
300,26,0.8679
300,27,0.3091
300,28,0.7018
300,29,0.4915
300,30,0.2787
300,31,0.2222
300,32,0.0769
300,33,0.0896
300,34,0.058
350,0,2
350,1,1.3333
350,2,1.6
350,3,1.8571
350,4,0.7778
350,5,3
350,6,0.4615
350,7,1.0667
350,8,1.4118
350,9,1.4737
350,10,1.1429
350,11,1.8696
350,12,1.48
350,13,0.8889
350,14,2.069
350,15,2.0323
350,16,0.9697
350,17,1.3714
350,18,1.4865
350,19,1.7949
350,20,1.561
350,21,1.814
350,22,1.0444
350,23,1.2766
350,24,1.6327
350,25,1.5098
350,26,1.0755
350,27,0.3273
350,28,0.5965
350,29,0.4746
350,30,0.377
350,31,0.2063
350,32,0.1231
350,33,0.1791
350,34,0.087
400,0,2
400,1,1.3333
400,2,1
400,3,1.8571
400,4,0.7778
400,5,2.6364
400,6,0.1538
400,7,1.4
400,8,1.7647
400,9,1.1579
400,10,1.3333
400,11,2.2174
400,12,1.56
400,13,0.8889
400,14,2.4828
400,15,2.1613
400,16,1
400,17,1.4571
400,18,1.6216
400,19,2.2051
400,20,1.5854
400,21,1.7442
400,22,1.2222
400,23,1.2766
400,24,1.9388
400,25,1.5294
400,26,1.2453
400,27,0.4182
400,28,0.7018
400,29,0.5763
400,30,0.3934
400,31,0.2222
400,32,0.1538
400,33,0.1642
400,34,0.087
450,0,2
450,1,1.3333
450,2,0.4
450,3,3
450,4,0.8889
450,5,2.6364
450,6,0.3846
450,7,1.8
450,8,2
450,9,1.4211
450,10,1.7619
450,11,2.1739
450,12,1.64
450,13,0.963
450,14,2.4138
450,15,2.1935
450,16,0.9697
450,17,1.7143
450,18,1.8649
450,19,2.8462
450,20,1.6585
450,21,1.9767
450,22,1.2889
450,23,1.1489
450,24,2.0408
450,25,1.4902
450,26,1.0566
450,27,0.4364
450,28,0.8246
450,29,0.678
450,30,0.2951
450,31,0.2698
450,32,0.2615
450,33,0.1791
450,34,0.1014
500,0,6
500,1,1
500,2,0.2
500,3,4.5714
500,4,1
500,5,2.6364
500,6,0.6923
500,7,1.6667
500,8,2.4118
500,9,1.5263
500,10,1.9048
500,11,2.1739
500,12,1.44
500,13,1
500,14,2.9655
500,15,2.7097
500,16,0.7576
500,17,1.6286
500,18,2.2162
500,19,2.2051
500,20,1.9268
500,21,1.7209
500,22,1.5333
500,23,1.1915
500,24,2.102
500,25,1.6275
500,26,1.3962
500,27,0.4182
500,28,0.8596
500,29,0.8814
500,30,0.3279
500,31,0.3651
500,32,0.2154
500,33,0.2687
500,34,0.087